recclass,meteorite_class_subclass,meteorite_class,meteorite_type
H5,Chrondrite - ordinary,Chrondrite,Chrondrite
L6,Chrondrite - ordinary,Chrondrite,Chrondrite
L5,Chrondrite - ordinary,Chrondrite,Chrondrite
"Iron, ungrouped",Iron - other,Iron,Iron
"Iron, IVA",Iron - magmatic,Iron,Iron
"Iron, IIIAB",Iron - magmatic,Iron,Iron
Eucrite-pmict,Achrondrite,Achrondrite,Chrondrite
OC,Chrondrite - ordinary,Chrondrite,Chrondrite
H6,Chrondrite - ordinary,Chrondrite,Chrondrite
L3,Chrondrite - ordinary,Chrondrite,Chrondrite
CO3.7,Chrondrite - carbonaceous,Chrondrite,Chrondrite
"Pallasite, PMG-an",Pallasite,Pallasite,Stony-iron
H,Chrondrite - ordinary,Chrondrite,Chrondrite
"Iron, IAB-MG",Iron - primitive,Iron,Iron
"Pallasite, ungrouped",Pallasite,Pallasite,Stony-iron
Mesosiderite-B4,Mesosiderite,Mesosiderite,Stony-iron
"Iron, IIC",Iron - magmatic,Iron,Iron
"Iron, IC",Iron - magmatic,Iron,Iron
"Iron, IIIF",Iron - magmatic,Iron,Iron
C2-ung,Chrondrite - carbonaceous,Chrondrite,Chrondrite
H3,Chrondrite - ordinary,Chrondrite,Chrondrite
L4,Chrondrite - ordinary,Chrondrite,Chrondrite
Eucrite-mmict,Achrondrite,Achrondrite,Chrondrite
Aubrite,Achrondrite,Achrondrite,Chrondrite
H4,Chrondrite - ordinary,Chrondrite,Chrondrite
CV3,Chrondrite - carbonaceous,Chrondrite,Chrondrite
H4/5,Chrondrite - ordinary,Chrondrite,Chrondrite
H3.7,Chrondrite - ordinary,Chrondrite,Chrondrite
"Iron, IID",Iron - magmatic,Iron,Iron
"Iron, IAB-ung",Iron - other,Iron,Iron
H?,Chrondrite - ordinary,Chrondrite,Chrondrite
"Iron, IAB-sLM",Iron - primitive,Iron,Iron
"Iron, IIAB",Iron - primitive,Iron,Iron
"Iron, IAB-sLL",Iron - primitive,Iron,Iron
"Iron, IIF",Iron - magmatic,Iron,Iron
"Iron, IVB",Iron - magmatic,Iron,Iron
LL4,Chrondrite - ordinary,Chrondrite,Chrondrite
Iron,Iron - other,Iron,Iron
EL6/7,Chrondrite - enstatite,Chrondrite,Chrondrite
CK3,Chrondrite - carbonaceous,Chrondrite,Chrondrite
L,Chrondrite - ordinary,Chrondrite,Chrondrite
LL5,Chrondrite - ordinary,Chrondrite,Chrondrite
Acapulcoite,Achrondrite,Achrondrite,Chrondrite
H4/6,Chrondrite - ordinary,Chrondrite,Chrondrite
H3.5,Chrondrite - ordinary,Chrondrite,Chrondrite
"Iron, IIIE",Iron - magmatic,Iron,Iron
"Iron, IAB complex",Iron - primitive,Iron,Iron
LL6,Chrondrite - ordinary,Chrondrite,Chrondrite
L6/7,Chrondrite - ordinary,Chrondrite,Chrondrite
H3.9,Chrondrite - ordinary,Chrondrite,Chrondrite
"Pallasite, PMG",Pallasite,Pallasite,Stony-iron
H3-6,Chrondrite - ordinary,Chrondrite,Chrondrite
Winonaite,Achrondrite - primitive,Achrondrite,Chrondrite
H3-4,Chrondrite - ordinary,Chrondrite,Chrondrite
LL3.3,Chrondrite - ordinary,Chrondrite,Chrondrite
CO3.3,Chrondrite - carbonaceous,Chrondrite,Chrondrite
Howardite,Achrondrite,Achrondrite,Chrondrite
"Iron, IIG",Iron - magmatic,Iron,Iron
"Iron, IAB-an",Iron - primitive,Iron,Iron
CM2,Chrondrite - carbonaceous,Chrondrite,Chrondrite
CO3.0,Chrondrite - carbonaceous,Chrondrite,Chrondrite
L3.5-5,Chrondrite - ordinary,Chrondrite,Chrondrite
H3.4,Chrondrite - ordinary,Chrondrite,Chrondrite
LL3.1,Chrondrite - ordinary,Chrondrite,Chrondrite
CBa,Chrondrite - carbonaceous,Chrondrite,Chrondrite
H3.6,Chrondrite - ordinary,Chrondrite,Chrondrite
L3-6,Chrondrite - ordinary,Chrondrite,Chrondrite
L5-7,Chrondrite - ordinary,Chrondrite,Chrondrite
Ureilite,Achrondrite - asteroidal,Achrondrite,Chrondrite
K3,Achrondrite - other,Achrondrite,Chrondrite
LL3.4,Chrondrite - ordinary,Chrondrite,Chrondrite
H3.8,Chrondrite - ordinary,Chrondrite,Chrondrite
H3.10,Chrondrite - ordinary,Chrondrite,Chrondrite
L/LL5,Chrondrite - ordinary,Chrondrite,Chrondrite
H(5?),Chrondrite - ordinary,Chrondrite,Chrondrite
"Iron, IIE",Iron - magmatic,Iron,Iron
Eucrite-cm,Achrondrite,Achrondrite,Chrondrite
"Iron, IAB-sHH",Iron - primitive,Iron,Iron
EL6,Chrondrite - enstatite,Chrondrite,Chrondrite
Mesosiderite-A3,Mesosiderite,Mesosiderite,Stony-iron
H4-an,Chrondrite - ordinary,Chrondrite,Chrondrite
L/LL4,Chrondrite - ordinary,Chrondrite,Chrondrite
"Pallasite, PES",Pallasite,Pallasite,Stony-iron
R3-6,Chrondrite - other,Chrondrite,Chrondrite
CM1,Chrondrite - carbonaceous,Chrondrite,Chrondrite
L-imp melt,Chrondrite - ordinary,Chrondrite,Chrondrite
C4-ung,Chrondrite - carbonaceous,Chrondrite,Chrondrite
L/LL3.4,Chrondrite - ordinary,Chrondrite,Chrondrite
Mesosiderite,Mesosiderite,Mesosiderite,Stony-iron
Aubrite-an,Achrondrite,Achrondrite,Chrondrite
LL3.7,Chrondrite - ordinary,Chrondrite,Chrondrite
Diogenite,Achrondrite,Achrondrite,Chrondrite
EH4/5,Chrondrite - enstatite,Chrondrite,Chrondrite
Pallasite,Pallasite,Pallasite,Stony-iron
H/L4,Chrondrite - ordinary,Chrondrite,Chrondrite
L3.6,Chrondrite - ordinary,Chrondrite,Chrondrite
Mesosiderite-A1,Mesosiderite,Mesosiderite,Stony-iron
"Iron, IAB-sLH",Iron - primitive,Iron,Iron
"Iron, IAB-sHL",Iron - primitive,Iron,Iron
Mesosiderite-A3/4,Mesosiderite,Mesosiderite,Stony-iron
"Iron, IIE-an",Iron - magmatic,Iron,Iron
Diogenite-pm,Achrondrite,Achrondrite,Chrondrite
L3.2,Chrondrite - ordinary,Chrondrite,Chrondrite
L3.5,Chrondrite - ordinary,Chrondrite,Chrondrite
H4-6,Chrondrite - ordinary,Chrondrite,Chrondrite
L/LL6,Chrondrite - ordinary,Chrondrite,Chrondrite
L4-6,Chrondrite - ordinary,Chrondrite,Chrondrite
H3-5,Chrondrite - ordinary,Chrondrite,Chrondrite
Mesosiderite-A2,Mesosiderite,Mesosiderite,Stony-iron
H-melt rock,Chrondrite - ordinary,Chrondrite,Chrondrite
L5/6,Chrondrite - ordinary,Chrondrite,Chrondrite
L3.4,Chrondrite - ordinary,Chrondrite,Chrondrite
H-metal,Chrondrite - ordinary,Chrondrite,Chrondrite
CR,Chrondrite - carbonaceous,Chrondrite,Chrondrite
"Iron, IIIAB?",Iron - other,Iron,Iron
Eucrite,Achrondrite,Achrondrite,Chrondrite
C,Chrondrite - carbonaceous,Chrondrite,Chrondrite
H5-6,Chrondrite - ordinary,Chrondrite,Chrondrite
LL3,Chrondrite - ordinary,Chrondrite,Chrondrite
CK4,Chrondrite - carbonaceous,Chrondrite,Chrondrite
CK5,Chrondrite - carbonaceous,Chrondrite,Chrondrite
L3.7,Chrondrite - ordinary,Chrondrite,Chrondrite
