,name,id,nametype,recclass,mass_grams,fall,year,reclat,reclong,geolocation,geometry,state_abbrev_x,state,county,country,elevation,state_abbrev,FIPS
0,Allegan,2276,Valid,H5,32000.0,Fell,1899,42.53333,-85.88333,"(42.53333, -85.88333)",POINT (-85.88333 42.53333),None_Found,Michigan,Allegan County,United States,225.0,MI,26
1,Coleman,5401,Valid,L6,469.0,Fell,1994,43.76111,-84.50778000000003,"(43.76111, -84.50778)",POINT (-84.50778 43.76111),None_Found,Michigan,Midland County,United States,218.0,MI,26
2,Rose City,22766,Valid,H5,10600.0,Fell,1921,44.51667,-83.95,"(44.51667, -83.95)",POINT (-83.95 44.51667),None_Found,Michigan,Oscoda County,United States,387.0,MI,26
3,Worden,24337,Valid,L5,1551.0,Fell,1997,42.38467,-83.6115,"(42.38467, -83.6115)",POINT (-83.6115 42.38467),None_Found,Michigan,Washtenaw County,United States,279.0,MI,26
4,Grand Rapids,10955,Valid,"Iron, ungrouped",51700.0,Found,1883,42.96667,-85.76666999999998,"(42.96667, -85.76667)",POINT (-85.76667 42.96667),None_Found,Michigan,Kent County,United States,225.0,MI,26
5,Iron River,12048,Valid,"Iron, IVA",1420.0,Found,1889,46.07944000000001,-88.55972,"(46.07944, -88.55972)",POINT (-88.55972 46.07944),None_Found,Michigan,Iron County,United States,510.0,MI,26
6,Kalkaska,12234,Valid,"Iron, IIIAB",9399.0,Found,1947,44.64694,-85.13667,"(44.64694, -85.13667)",POINT (-85.13667 44.64694),None_Found,Michigan,Kalkaska County,United States,355.0,MI,26
7,Reed City,22552,Valid,"Iron, ungrouped",20000.0,Found,1895,43.86667,-85.51666999999998,"(43.86667, -85.51667)",POINT (-85.51667 43.86667),None_Found,Michigan,Osceola County,United States,329.0,MI,26
8,Seneca Township,23499,Valid,"Iron, IVA",11500.0,Found,1923,41.78333,-84.18333,"(41.78333, -84.18333)",POINT (-84.18333 41.78333),None_Found,Michigan,Lenawee County,United States,243.0,MI,26
9,Andover,2295,Valid,L6,3200.0,Fell,1898,44.61667,-70.75,"(44.61667, -70.75)",POINT (-70.75 44.61667),None_Found,Maine,Oxford County,United States,220.0,ME,23
10,Castine,5293,Valid,L6,94.0,Fell,1848,44.38333,-68.75,"(44.38333, -68.75)",POINT (-68.75 44.38333),None_Found,Maine,Hancock County,United States,25.0,ME,23
