name,id,nametype,recclass,mass_grams,fall,year,reclat,reclong,geolocation,geometry,state_abbrev,state,county,country,elevation
Abee,6,Valid,EH4,107000.0,Fell,1952,54.21666999999999,-113.0,"(54.21667, -113.0)",POINT (-113 54.21667),None_Found,Alberta,Thorhild County,Canada,0.0
Allegan,2276,Valid,H5,32000.0,Fell,1899,42.53333,-85.88333,"(42.53333, -85.88333)",POINT (-85.88333 42.53333),None_Found,Michigan,Allegan County,United States,0.0
Allende,2278,Valid,CV3,2000000.0,Fell,1969,26.96667,-105.31667,"(26.96667, -105.31667)",POINT (-105.31667 26.96667),None_Found,Chihuahua,Allende,México,0.0
Andover,2295,Valid,L6,3200.0,Fell,1898,44.61667,-70.75,"(44.61667, -70.75)",POINT (-70.75 44.61667),None_Found,Maine,Oxford County,United States,0.0
Archie,2329,Valid,H6,5070.0,Fell,1932,38.5,-94.3,"(38.5, -94.3)",POINT (-94.3 38.5),None_Found,Missouri,Cass County,United States,0.0
Ash Creek,48954,Valid,L6,9500.0,Fell,2009,31.805,-97.01,"(31.805, -97.01)",POINT (-97.01 31.805),None_Found,Texas,McLennan County,United States,0.0
Atemajac,4884,Valid,L6,94.2,Fell,1896,20.066670000000002,-103.66667,"(20.06667, -103.66667)",POINT (-103.66667 20.06667),None_Found,Jalisco,Tapalpa,México,0.0
Athens,4885,Valid,LL6,265.0,Fell,1933,34.75,-87.0,"(34.75, -87.0)",POINT (-87 34.75),None_Found,Alabama,Limestone County,United States,0.0
Atoka,4888,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,"(34.31667, -96.15)",POINT (-96.15 34.31667),None_Found,Oklahoma,Atoka County,United States,0.0
Avilez,4907,Valid,H,146.0,Fell,1855,25.0,-103.5,"(25.0, -103.5)",POINT (-103.5 25),None_Found,Durango,Cuencamé,México,0.0
Aztec,4913,Valid,L6,2830.0,Fell,1938,36.8,-108.0,"(36.8, -108.0)",POINT (-108 36.8),None_Found,New Mexico,San Juan County,United States,0.0
Bald Mountain,4925,Valid,L4,3700.0,Fell,1929,35.96667,-82.48333000000001,"(35.96667, -82.48333)",POINT (-82.48333 35.96667),None_Found,North Carolina,Yancey County,United States,0.0
Baldwyn,4926,Valid,L6,345.0,Fell,1922,34.5,-88.66667,"(34.5, -88.66667)",POINT (-88.66667 34.5),None_Found,Mississippi,Lee County,United States,0.0
Bath,4974,Valid,H4,21000.0,Fell,1892,45.41667,-98.31667,"(45.41667, -98.31667)",POINT (-98.31667 45.41667),None_Found,South Dakota,Brown County,United States,0.0
