,mass_grams,fall,year,reclat,reclong,elevation,FIPS,area_sqkm,BARE,CROPL,FOREST,GRSL,SHRUBL,SPARSE_VEGETATION,URBAN,WATER,WETL,Achrondrite,Chrondrite,Iron,Mesosiderite,Pallasite
0,32000.0,0,1899,42.53333,-85.88333,225.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,1,0,0,0
1,469.0,0,1994,43.76111,-84.50778000000003,218.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,1,0,0,0
2,10600.0,0,1921,44.51667,-83.95,387.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,1,0,0,0
3,1551.0,0,1997,42.38467,-83.6115,279.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,1,0,0,0
4,51700.0,1,1883,42.96667,-85.76666999999998,225.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,0,1,0,0
5,1420.0,1,1889,46.07944000000001,-88.55972,510.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,0,1,0,0
6,9399.0,1,1947,44.64694,-85.13667,355.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,0,1,0,0
7,20000.0,1,1895,43.86667,-85.51666999999998,329.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,0,1,0,0
8,11500.0,1,1923,41.78333,-84.18333,243.0,26,250487,0.2415724505,35.820019319699995,52.4867286007,4.4488911139,0.668926593,0.0261822808,3.3508717114,2.6444615016,0.3123464284,0,0,1,0,0
9,3200.0,0,1898,44.61667,-70.75,220.0,23,91633,0.073362296,3.781799051,87.0340788799,2.0008974594,0.0632590517,0.022664034399999998,0.8354745840000001,6.0338212927,0.1546433509,0,1,0,0,0
10,94.0,0,1848,44.38333,-68.75,25.0,23,91633,0.073362296,3.781799051,87.0340788799,2.0008974594,0.0632590517,0.022664034399999998,0.8354745840000001,6.0338212927,0.1546433509,0,1,0,0,0
11,2300.0,0,1823,44.08333,-69.48333000000001,44.0,23,91633,0.073362296,3.781799051,87.0340788799,2.0008974594,0.0632590517,0.022664034399999998,0.8354745840000001,6.0338212927,0.1546433509,1,0,0,0,0
12,5400.0,0,1871,44.36667,-69.2,76.0,23,91633,0.073362296,3.781799051,87.0340788799,2.0008974594,0.0632590517,0.022664034399999998,0.8354745840000001,6.0338212927,0.1546433509,0,1,0,0,0
13,220.0,1,1978,43.827,-70.24717,68.0,23,91633,0.073362296,3.781799051,87.0340788799,2.0008974594,0.0632590517,0.022664034399999998,0.8354745840000001,6.0338212927,0.1546433509,0,1,0,0,0
14,5070.0,0,1932,38.5,-94.3,264.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,1,0,0,0
15,611.0,0,1916,36.75,-93.5,294.0,29,180540,0.0557800531,39.1698218372,28.9107801257,28.997891043800003,0.019234501100000002,0.0129084874,1.4920843617,1.0492206607999999,0.2922789293,0,1,0,0,0
