,COU,Large subnational region,Land cover class,Value,Unit Code
4,AUS,Administrative unit not available,Cropland,0.0,KM2
9,AFG,Logar,Cropland,554.12628,KM2
14,AFG,Logar,Artificial surfaces,1.3911120000000001,KM2
29,AFG,Farah,Sparse vegetation,2107.7665319999996,KM2
34,AFG,Hilmand,Cropland,4465.933223999999,KM2
39,AFG,Khost,Wetland,0.0,KM2
44,AFG,Khost,Artificial surfaces,0.77284,KM2
49,AFG,Khost,Inland water,0.0,KM2
54,AFG,Jawzjan,Tree cover,0.0,KM2
59,AFG,Paktika,Wetland,0.0,KM2
64,AFG,Paktika,Shrubland,61.74991599999999,KM2
74,AFG,Takhar,Tree cover,44.670152,KM2
79,AFG,Takhar,Wetland,3.09136,KM2
104,AFG,Parwan,Wetland,0.077284,KM2
109,AFG,Balkh,Shrubland,730.179232,KM2
114,AFG,Faryab,Grassland,1932.177284,KM2
129,AFG,Kandahar,Wetland,0.0,KM2
149,AFG,Nuristan,Wetland,7.264696,KM2
154,AFG,Nuristan,Sparse vegetation,25.194584,KM2
159,AFG,Nuristan,Inland water,2.395804,KM2
174,AFG,Badghis,Tree cover,14.452108,KM2
179,AFG,Badghis,Artificial surfaces,3.1686440000000005,KM2
194,AFG,Panjsher,Inland water,1.7775320000000001,KM2
199,AFG,Wardak,Cropland,1312.127752,KM2
214,AFG,Kapisa,Inland water,0.463704,KM2
234,AFG,Kabul,Bare area,266.32066399999997,KM2
264,AFG,Kunar,Artificial surfaces,0.6955560000000001,KM2
299,AFG,Ghor,Bare area,7179.3744639999995,KM2
309,AFG,Nangarhar,Wetland,0.0,KM2
324,AFG,Zabul,Inland water,0.0,KM2
334,AFG,Badakhshan,Wetland,19.939272000000003,KM2
339,AFG,Badakhshan,Shrubland,307.822172,KM2
359,AFG,Kunduz,Artificial surfaces,17.77532,KM2
364,AFG,Uruzgan,Grassland,4368.246248,KM2
369,AFG,Uruzgan,Inland water,2.163952,KM2
379,DZA,Khenchela,Shrubland,562.318384,KM2
399,DZA,Tlemcen,Grassland,0.309136,KM2
404,DZA,Tlemcen,Sparse vegetation,2090.068496,KM2
409,DZA,Tlemcen,Cropland,4338.491908,KM2
414,DZA,Tizi Ouzou,Wetland,0.154568,KM2
419,DZA,Tizi Ouzou,Cropland,1135.3792440000002,KM2
424,DZA,Tizi Ouzou,Artificial surfaces,79.98894,KM2
429,DZA,Relizane,Sparse vegetation,866.35364,KM2
434,DZA,Relizane,Cropland,3052.0224439999997,KM2
459,DZA,Ouargla,Inland water,11.20618,KM2
479,DZA,Oum El Bouaghi,Sparse vegetation,358.59776,KM2
484,DZA,Oum El Bouaghi,Bare area,396.46692,KM2
504,DZA,El Bayadh,Artificial surfaces,11.97902,KM2
509,DZA,Ain-Defla,Sparse vegetation,130.300824,KM2
514,DZA,Ain-Defla,Cropland,2468.682812,KM2
519,DZA,Souk-Ahras,Shrubland,50.311884,KM2
534,DZA,Guelma,Grassland,0.0,KM2
539,DZA,Guelma,Sparse vegetation,13.060996,KM2
554,DZA,Mostaganem,Shrubland,186.872712,KM2
559,DZA,Mostaganem,Artificial surfaces,42.50619999999999,KM2
564,DZA,Mostaganem,Inland water,9.119512,KM2
579,DZA,El Oued,Shrubland,0.0,KM2
599,DZA,Tindouf,Bare area,161276.792188,KM2
604,DZA,Tindouf,Inland water,0.0,KM2
614,DZA,Blida,Cropland,531.482068,KM2
624,DZA,Tebessa,Grassland,0.0,KM2
629,DZA,Tebessa,Artificial surfaces,49.616328,KM2
634,DZA,Alger,Shrubland,2.163952,KM2
644,DZA,El-Tarf,Shrubland,15.997787999999998,KM2
649,DZA,El-Tarf,Cropland,1081.20316,KM2
654,DZA,El-Tarf,Artificial surfaces,37.328172,KM2
664,DZA,Adrar,Wetland,0.0,KM2
669,DZA,Adrar,Cropland,292.597224,KM2
709,DZA,Tipaza,Sparse vegetation,0.77284,KM2
714,DZA,Tipaza,Cropland,635.583616,KM2
729,DZA,Tiaret,Tree cover,47.220524000000005,KM2
734,DZA,Bouira,Wetland,0.154568,KM2
749,DZA,Setif,Tree cover,616.803604,KM2
754,DZA,Mila,Wetland,0.38642,KM2
759,DZA,Mila,Sparse vegetation,48.843488,KM2
764,DZA,Mila,Artificial surfaces,57.885715999999995,KM2
779,DZA,Tissemsilt,Shrubland,679.7127800000001,KM2
794,DZA,Ain-Temouchent,Bare area,34.623232,KM2
804,DZA,Oran,Sparse vegetation,202.48408,KM2
814,DZA,Ghardaia,Bare area,82929.90533600001,KM2
824,DZA,Annaba,Tree cover,658.8460999999999,KM2
839,DZA,Skikda,Bare area,13.679268,KM2
844,DZA,Bordj Bou Arrer,Bare area,77.59313599999999,KM2
859,DZA,Biskra,Shrubland,180.303572,KM2
869,DZA,Boumerdes,Inland water,10.819759999999999,KM2
879,ASM,Administrative unit not available,Grassland,0.0,KM2
889,AND,Escaldes-engordany,Bare area,2.009384,KM2
909,AND,Ordino,Shrubland,0.0,KM2
914,AND,Ordino,Sparse vegetation,16.538776000000002,KM2
919,AND,Ordino,Inland water,0.0,KM2
929,AND,Andorra La Vella,Shrubland,0.0,KM2
939,AND,La Massana,Artificial surfaces,0.231852,KM2
944,AND,Canillo,Shrubland,0.0,KM2
949,AND,Canillo,Artificial surfaces,0.154568,KM2
954,AND,Canillo,Bare area,3.400496,KM2
959,AGO,Bengo,Shrubland,6761.731727999999,KM2
969,AGO,Kuanza Norte,Bare area,0.0,KM2
974,AGO,Cuanza Sul,Cropland,5613.214204,KM2
984,AGO,Malanje,Shrubland,9382.200316,KM2
999,AGO,Huambo,Wetland,6.800992,KM2
1004,AGO,Huambo,Shrubland,4506.661891999999,KM2
1014,AGO,Namibe,Grassland,14877.865555999999,KM2
1024,AGO,Uige,Shrubland,5284.602636,KM2
1039,AGO,Cunene,Grassland,34257.060408,KM2
1044,AGO,Cunene,Wetland,26.27656,KM2
1049,AGO,Cunene,Sparse vegetation,7.496548000000001,KM2
1059,AGO,Moxico,Wetland,2571.006828,KM2
1064,AGO,Moxico,Cropland,2482.284796,KM2
1084,AGO,Lunda Norte,Sparse vegetation,0.0,KM2
1089,AGO,Lunda Norte,Inland water,24.267176000000003,KM2
1094,AGO,Bie,Tree cover,61354.60834,KM2
1099,AGO,Bie,Cropland,5402.769872000001,KM2
1104,AGO,Bie,Artificial surfaces,48.457068,KM2
1109,AGO,Bie,Bare area,0.0,KM2
1114,AGO,Bie,Inland water,9.737784000000001,KM2
1119,AGO,Zaire,Inland water,159.668744,KM2
1129,AIA,Name Unknown,Grassland,15.147664,KM2
1134,AIA,Name Unknown,Sparse vegetation,0.0,KM2
1154,AIA,Name Unknown,Grassland,0.618272,KM2
1159,AIA,Name Unknown,Inland water,1.236544,KM2
1199,AIA,Name Unknown,Artificial surfaces,0.0,KM2
1209,AIA,Name Unknown,Cropland,0.0,KM2
1219,AIA,Name Unknown,Wetland,0.618272,KM2
1224,AIA,Name Unknown,Shrubland,0.0,KM2
1229,AIA,Name Unknown,Artificial surfaces,0.0,KM2
1244,AIA,Name Unknown,Sparse vegetation,0.0,KM2
1259,ATG,St. Mary,Bare area,0.0,KM2
1264,ATG,Barbuda,Bare area,0.0,KM2
1279,ATG,Name Unknown,Cropland,0.0,KM2
1284,ATG,St. John,Tree cover,7.960252,KM2
1289,ATG,St. John,Shrubland,0.0,KM2
1294,ATG,St. John,Cropland,1.081976,KM2
1299,ATG,St. John,Artificial surfaces,10.510624,KM2
1309,ATG,St. Peter,Shrubland,0.0,KM2
1314,ATG,St. George,Tree cover,3.8641999999999994,KM2
1334,ARG,Chaco,Tree cover,52863.260691999996,KM2
1339,ARG,Chaco,Wetland,3693.01594,KM2
1344,ARG,Chaco,Shrubland,15772.659708,KM2
1364,ARG,San Luis,Inland water,151.322072,KM2
1379,ARG,Cordoba,Tree cover,8118.297780000001,KM2
1384,ARG,Santa Cruz,Wetland,247.30879999999996,KM2
1389,ARG,Santa Cruz,Shrubland,80636.038932,KM2
1399,ARG,Rio Negro,Cropland,3505.21582,KM2
1409,ARG,San Juan,Wetland,1.004692,KM2
1429,ARG,Entre Rios,Tree cover,9007.604768000001,KM2
1434,ARG,Entre Rios,Sparse vegetation,12.210872,KM2
1444,ARG,Buenos Aires D.f.,Grassland,0.0,KM2
1449,ARG,Buenos Aires D.f.,Wetland,0.0,KM2
1454,ARG,Buenos Aires D.f.,Cropland,1.9320999999999997,KM2
1464,ARG,La Pampa,Grassland,739.4533120000001,KM2
1474,ARG,Mendoza,Wetland,0.077284,KM2
1479,ARG,Mendoza,Artificial surfaces,334.94885600000003,KM2
1484,ARG,Santiago Del Estero,Tree cover,43208.32514,KM2
1489,ARG,Santiago Del Estero,Inland water,966.590988,KM2
1499,ARG,Catamarca,Bare area,31487.201848,KM2
1504,ARG,Buenos Aires,Shrubland,21964.731072,KM2
